barcode	name	rank	mean_percent	total_reads
barcode01	Agaricales	O	0.7749999999999999	2
barcode01	Agaricineae	O1	0.7749999999999999	2
barcode01	Agaricomycetes	C	0.7749999999999999	2
barcode01	Agaricomycetidae	C1	0.7749999999999999	2
barcode01	Agaricomycotina	P1	0.44757575757575757	44
barcode01	Amniota	P9	0.386	28
barcode01	Anthozoa	C	87	42853
barcode01	Archaea	R2	0.106	5
barcode01	Ascochyta	G	0.095	2
barcode01	Ascochyta rabiei	S	0.095	2
barcode01	Ascomycota	P	0.5205555555555555	99
barcode01	Aspergillaceae	F	0.23714285714285716	7
barcode01	Aspergillus	G	0.26333333333333336	6
barcode01	Aspergillus luchuensis	S	0.255	2
barcode01	Aspergillus subgen. Circumdati	G1	0.26333333333333336	6
barcode01	Basidiomycota	P	0.42243243243243245	50
barcode01	Bilateria	K2	0.386	28
barcode01	Boreoeutheria	C3	0.386	28
barcode01	Botrytis	G	0.252	5
barcode01	Botrytis cinerea	S	0.252	5
barcode01	Botrytis cinerea B05.10	S1	0.252	5
barcode01	Candida	G	0.2975	9
barcode01	Candida albicans	S	0.73	2
barcode01	Candida albicans SC5314	S1	0.73	2
barcode01	Candida dubliniensis	S	0.145	6
barcode01	Candida dubliniensis CD36	S1	0.145	6
barcode01	Candida/Lodderomyces clade	F1	0.35384615384615387	14
barcode01	Catarrhini	O3	0.386	28
barcode01	Chaetomiaceae	F	0.06	1
barcode01	Chordata	P	0.386	28
barcode01	Clavicipitaceae	F	0.255	5
barcode01	Cnidaria	P	87	42853
barcode01	Coccidioides	G	0.2	1
barcode01	Coccidioides posadasii	S	0.2	1
barcode01	Coccidioides posadasii str. Silveira	S1	0.2	1
barcode01	Colletotrichum	G	0.14500000000000002	4
barcode01	Colletotrichum acutatum species complex	G1	0.15	1
barcode01	Colletotrichum destructivum	S	0.14500000000000002	2
barcode01	Colletotrichum destructivum species complex	G1	0.14500000000000002	2
barcode01	Colletotrichum lupini	S	0.15	1
barcode01	Craniata	P1	0.386	28
barcode01	Cryptococcaceae	F	0.435	41
barcode01	Cryptococcus	G	0.0975	4
barcode01	Cryptococcus deneoformans	S	0.13	1
barcode01	Cryptococcus gattii species complex	G1	0.07	2
barcode01	Cryptococcus neoformans	S	0.12	1
barcode01	Cryptococcus neoformans H99	S1	0.12	1
barcode01	Cryptococcus neoformans species complex	G1	0.125	2
barcode01	Cutaneotrichosporon	G	0.17	1
barcode01	Cutaneotrichosporon cavernicola	S	0.17	1
barcode01	Debaryomycetaceae	F	0.35384615384615387	14
barcode01	Deuterostomia	K3	0.386	28
barcode01	Didymellaceae	F	0.095	2
barcode01	Dikarya	K1	0.6359722222222223	156
barcode01	Dipnotetrapodomorpha	P7	0.386	28
barcode01	Dipodascales	O	0.44	1
