name	rank	mean_percent	total_reads
Acidianus	G	0.14500000000000002	2
Acidianus ambivalens	S	0.13	1
Acidianus manzaensis	S	0.16	1
Agaricales	O	0.14500000000000002	2
Agaricineae	O1	0.14500000000000002	2
Agaricomycetes	C	0.14500000000000002	2
Agaricomycetidae	C1	0.14500000000000002	2
Agaricomycotina	P1	0.40516483516483515	109
Alternaria	G	0.22	1
Alternaria dauci	S	0.22	1
Alternaria sect. Porri	G1	0.22	1
Amniota	P9	1.030863309352518	159
Anthozoa	C	87.49968449931413	149713
Archaea	R2	0.23545454545454547	11
Ascochyta	G	0.32	5
Ascochyta rabiei	S	0.32	5
Ascomycota	P	0.7469736842105263	371
Aspergillaceae	F	0.3436842105263158	20
Aspergillus	G	0.33588235294117647	18
Aspergillus chevalieri	S	0.2	1
Aspergillus flavus	S	0.25	1
Aspergillus fumigatus	S	0.3	1
Aspergillus fumigatus Af293	S1	0.3	1
Aspergillus luchuensis	S	0.30142857142857143	8
Aspergillus puulaauensis	S	0.31	1
Aspergillus subgen. Aspergillus	G1	0.2	1
Aspergillus subgen. Circumdati	G1	0.35	15
Aspergillus subgen. Fumigati	G1	0.3	1
Basidiomycota	P	0.4217708333333333	117
Bilateria	K2	1.030863309352518	159
Boreoeutheria	C3	1.030863309352518	159
Botrytis	G	0.42615384615384616	14
Botrytis cinerea	S	0.42615384615384616	14
Botrytis cinerea B05.10	S1	0.42615384615384616	14
Candida	G	0.708076923076923	28
Candida albicans	S	0.27	12
Candida albicans SC5314	S1	0.27	12
Candida dubliniensis	S	0.6081818181818182	11
Candida dubliniensis CD36	S1	0.6081818181818182	11
Candida orthopsilosis	S	1.752	5
Candida orthopsilosis Co 90-125	S1	1.752	5
Candida/Lodderomyces clade	F1	0.5552380952380952	46
Candidatus Nitrosocaldaceae	F	0.15	1
Candidatus Nitrosocaldales	O	0.15	1
Candidatus Nitrosocaldus	G	0.15	1
Candidatus Nitrosotenuis	G	0.09	1
Candidatus Nitrosotenuis aquarius	S	0.09	1
Candidozyma	G	0.08	1
Candidozyma auris	S	0.08	1
Catarrhini	O3	1.030863309352518	159
Chaetomiaceae	F	0.82875	8
Chordata	P	1.030863309352518	159
Clavicipitaceae	F	0.254	5
Cnidaria	P	87.49968449931413	149713
Coccidioides	G	0.09	1
Coccidioides posadasii	S	0.09	1
Coccidioides posadasii str. Silveira	S1	0.09	1
Colletotrichum	G	0.4747368421052632	38
Colletotrichum acutatum species complex	G1	0.485	4
Colletotrichum destructivum	S	0.2823076923076923	13
Colletotrichum destructivum species complex	G1	0.47352941176470587	34
Colletotrichum higginsianum	S	0.5919047619047619	21
Colletotrichum higginsianum IMI 349063	S1	0.5919047619047619	21
Colletotrichum lupini	S	0.485	4
Craniata	P1	1.030863309352518	159
Cryptococcaceae	F	0.41195402298850575	104
Cryptococcus	G	0.475	5
Cryptococcus bacillisporus	S	0.68	1
Cryptococcus bacillisporus CA1280	S1	0.68	1
Cryptococcus depauperatus	S	0.07	1
Cryptococcus depauperatus CBS 7841	S1	0.07	1
Cryptococcus gattii species complex	G1	0.4575	4
Cutaneotrichosporon	G	0.25	3
Cutaneotrichosporon cavernicola	S	0.25	3
Debaryomycetaceae	F	0.5644186046511628	47
Deuterostomia	K3	1.030863309352518	159
Didymellaceae	F	0.32	5
Dikarya	K1	0.7708333333333334	497
Dipnotetrapodomorpha	P7	1.030863309352518	159
Dipodascales	O	0.30833333333333335	7
Dipodascales incertae sedis	O1	0.14200000000000002	5
Dipodascomycetes	C	0.30833333333333335	7
Dothideomycetes	C	0.36666666666666664	9
Dothideomycetidae	C1	0.49333333333333335	3
Drechmeria	G	0.4058695652173913	51
Drechmeria coniospora	S	0.4058695652173913	51
Euarchontoglires	C4	1.030863309352518	159
Eukaryota	R2	88.02544581618656	150431
Eumetazoa	K1	87.71227709190673	149899
Eunicea	G	87.49968449931413	149713
Eunicea knighti	S	87.49968449931413	149713
Eurotiales	O	0.6288888888888889	28
Eurotiomycetes	C	0.6096428571428572	29
Eurotiomycetidae	C1	0.6096428571428572	29
Euteleostomi	P5	1.030863309352518	159
Eutheria	C2	1.030863309352518	159
Fulvia	G	0.49333333333333335	3
Fulvia fulva	S	0.49333333333333335	3
Fungi	K	0.7707942238267148	500
Fungi incertae sedis	K1	0.21	2
Fusarium	G	0.355	40
Fusarium falciforme	S	0.475	2
Fusarium fujikuroi	S	0.3716666666666667	7
Fusarium fujikuroi IMI 58289	S1	0.3716666666666667	7
Fusarium fujikuroi species complex	G1	0.3716666666666667	7
Fusarium graminearum	S	0.345	2
Fusarium graminearum PH-1	S1	0.345	2
Fusarium keratoplasticum	S	0.31833333333333336	6
Fusarium musae	S	0.23333333333333334	7
Fusarium poae	S	0.33	1
Fusarium pseudograminearum	S	0.35333333333333333	6
Fusarium pseudograminearum CS3096	S1	0.35333333333333333	6
Fusarium sambucinum species complex	G1	0.34888888888888886	9
Fusarium solani species complex	G1	0.365	10
Glomeraceae	F	0.21	2
Glomerales	O	0.21	2
Glomerellaceae	F	0.4747368421052632	38
Glomerellales	O	0.4747368421052632	38
Glomeromycetes	C	0.21	2
Glomeromycotina	P1	0.21	2
Gnathostomata	P3	1.030863309352518	159
Haladaptataceae	F	0.34	1
Haladaptatus	G	0.34	1
Haladaptatus salinisoli	S	0.34	1
Halapricum	G	0.07	1
Halapricum desulfuricans	S	0.07	1
Haloarculaceae	F	0.07	1
Halobacteria	C	0.16	3
Halobacteriales	O	0.16	3
Halomarina	G	0.07	1
Halomarina pelagica	S	0.07	1
Haplorrhini	O1	1.030863309352518	159
Helotiales	O	0.42615384615384616	14
Henningerozyma	G	0.535	2
Henningerozyma blattae	S	0.535	2
Henningerozyma blattae CBS 6284	S1	0.535	2
Hominidae	F	1.030863309352518	159
Homininae	F1	1.030863309352518	159
Hominoidea	O4	1.030863309352518	159
Homo	G	1.030863309352518	159
Homo sapiens	S	1.030863309352518	159
Huiozyma	G	0.53	1
Huiozyma naganishii	S	0.53	1
Huiozyma naganishii CBS 8797	S1	0.53	1
Hypocreaceae	F	1.8183333333333334	6
Hypocreales	O	0.5092553191489362	119
Hypocreomycetidae	C1	0.5744067796610169	162
