mod_bases	A,C
count_reads_A	9968
count_reads_C	9695
A_pass_calls_modified_a	5402
A_pass_frac_modified_a	0.004129568459331548
A_fail_calls_modified_a	25741
A_pass_calls_unmodified	1302725
A_pass_frac_unmodified	0.9958704315406685
A_fail_calls_unmodified	115948
A_total_mod_calls	1308127
A_total_fail_mod_calls	141689
C_pass_calls_unmodified	115504
C_pass_frac_unmodified	0.9441615236849634
C_fail_calls_unmodified	8708
C_pass_calls_modified_m	5656
C_pass_frac_modified_m	0.04623370253811256
C_fail_calls_modified_m	1875
C_pass_calls_modified_h	1175
C_pass_frac_modified_h	0.00960477377692402
C_fail_calls_modified_h	2783
C_total_mod_calls	122335
C_total_fail_mod_calls	13366
total_reads_used	9968
