mod_bases	C,A
count_reads_C	9826
count_reads_A	10042
C_pass_calls_modified_h	1190
C_pass_frac_modified_h	0.007840501792114695
C_fail_calls_modified_h	3145
C_pass_calls_unmodified	144769
C_pass_frac_unmodified	0.9538332806240776
C_fail_calls_unmodified	11289
C_pass_calls_modified_m	5817
C_pass_frac_modified_m	0.03832621758380771
C_fail_calls_modified_m	2065
C_total_mod_calls	151776
C_total_fail_mod_calls	16499
A_pass_calls_unmodified	1610323
A_pass_frac_unmodified	0.9967078102698493
A_fail_calls_unmodified	144338
A_pass_calls_modified_a	5319
A_pass_frac_modified_a	0.003292189730150615
A_fail_calls_modified_a	29999
A_total_mod_calls	1615642
A_total_fail_mod_calls	174337
total_reads_used	10042
