mod_bases	A,C
count_reads_C	75637
count_reads_A	77476
A_pass_calls_modified_a	17935
A_pass_frac_modified_a	0.0013272896449428044
A_fail_calls_modified_a	193811
A_pass_calls_unmodified	13494564
A_pass_frac_unmodified	0.9986727103550572
A_fail_calls_unmodified	1266369
A_total_mod_calls	13512499
A_total_fail_mod_calls	1460180
C_pass_calls_modified_h	6318
C_pass_frac_modified_h	0.0052130777456532934
C_fail_calls_modified_h	20641
C_pass_calls_modified_m	48563
C_pass_frac_modified_m	0.04007006878160191
C_fail_calls_modified_m	14102
C_pass_calls_unmodified	1157071
C_pass_frac_unmodified	0.9547168534727448
C_fail_calls_unmodified	95726
C_total_mod_calls	1211952
C_total_fail_mod_calls	130469
total_reads_used	77477
