barcode	name	rank	mean_percent	total_reads
barcode14	Anthozoa	C	100	1
barcode14	Cnidaria	P	100	1
barcode14	Eukaryota	R2	100	1
barcode14	Eumetazoa	K1	100	1
barcode14	Eunicea	G	100	1
barcode14	Eunicea knighti	S	100	1
barcode14	Malacalcyonacea	O	100	1
barcode14	Metazoa	K	100	1
barcode14	Octocorallia	C1	100	1
barcode14	Opisthokonta	R3	100	1
barcode14	Plexauridae	F	100	1
barcode14	cellular organisms	R1	100	1
barcode14	root	R	100	1
barcode15	Agaricomycotina	P1	0.19	1
barcode15	Amniota	P9	2.03	5
barcode15	Anthozoa	C	86.93514285714286	5723
barcode15	Ascomycota	P	1.0466666666666666	13
barcode15	Basidiomycota	P	0.19	1
barcode15	Bilateria	K2	2.03	5
barcode15	Boreoeutheria	C3	2.03	5
barcode15	Candida	G	0.29000000000000004	3
barcode15	Candida albicans	S	0.2	1
barcode15	Candida albicans SC5314	S1	0.2	1
barcode15	Candida dubliniensis	S	0.19	1
barcode15	Candida dubliniensis CD36	S1	0.19	1
barcode15	Candida orthopsilosis	S	0.19	1
barcode15	Candida orthopsilosis Co 90-125	S1	0.19	1
barcode15	Candida/Lodderomyces clade	F1	0.97	4
barcode15	Catarrhini	O3	2.03	5
barcode15	Chordata	P	2.03	5
barcode15	Cnidaria	P	86.93514285714286	5723
barcode15	Colletotrichum	G	0.8333333333333333	3
barcode15	Colletotrichum destructivum	S	0.185	2
barcode15	Colletotrichum destructivum species complex	G1	0.8333333333333333	3
barcode15	Colletotrichum higginsianum	S	2.13	1
barcode15	Colletotrichum higginsianum IMI 349063	S1	2.13	1
barcode15	Craniata	P1	2.03	5
barcode15	Cryptococcaceae	F	0.19	1
barcode15	Cryptococcus	G	0.19	1
barcode15	Cryptococcus bacillisporus	S	0.19	1
barcode15	Cryptococcus bacillisporus CA1280	S1	0.19	1
barcode15	Cryptococcus gattii species complex	G1	0.19	1
barcode15	Debaryomycetaceae	F	0.795	5
barcode15	Deuterostomia	K3	2.03	5
barcode15	Dikarya	K1	1.1738461538461538	16
barcode15	Dipnotetrapodomorpha	P7	2.03	5
barcode15	Drechmeria	G	4.35	1
barcode15	Drechmeria coniospora	S	4.35	1
barcode15	Euarchontoglires	C4	2.03	5
barcode15	Eukaryota	R2	87.14628571428571	5746
barcode15	Eumetazoa	K1	87.03707142857142	5730
barcode15	Eunicea	G	86.93514285714286	5723
