name	rank	mean_percent	total_reads
Acidianus	G	0.015	2
Acidianus brierleyi	S	0.01	1
Acidianus sp. HS-5	S	0.02	1
Acidilobaceae	F	0.02	1
Acidilobales	O	0.01	2
Acidilobus	G	0.02	1
Acidilobus saccharovorans	S	0.02	1
Acidilobus saccharovorans 345-15	S1	0.02	1
Agaricales	O	0.020930232558139535	45
Agaricineae	O1	0.01945945945945946	38
Agaricomycetes	C	0.020851063829787235	52
Agaricomycetes incertae sedis	C1	0.014	6
Agaricomycetidae	C1	0.020930232558139535	45
Agaricomycotina	P1	0.04838636363636364	1035
Akanthomyces	G	0.018333333333333333	12
Akanthomyces muscarius	S	0.018333333333333333	12
Alternaria	G	0.03125	25
Alternaria dauci	S	0.03125	25
Alternaria sect. Porri	G1	0.03125	25
Amniota	P9	0.2646025878003697	2127
Anthozoa	C	82.24362363919128	2642779
Apansporoblastina	P1	0.015	6
Archaea	R2	0.022100840336134454	131
Ascochyta	G	0.016904761904761905	47
Ascochyta rabiei	S	0.016904761904761905	47
Ascomycota	P	0.5029519071310116	5213
Aspergillaceae	F	0.5185714285714286	270
Aspergillus	G	0.5352551020408163	254
Aspergillus chevalieri	S	0.023125	16
Aspergillus flavus	S	0.016666666666666666	6
Aspergillus fumigatus	S	0.02	16
Aspergillus fumigatus Af293	S1	0.02	16
Aspergillus luchuensis	S	0.0237	112
Aspergillus nidulans	S	0.0175	4
Aspergillus nidulans FGSC A4	S1	0.0175	4
Aspergillus oryzae	S	0.02	1
Aspergillus oryzae RIB40	S1	0.02	1
Aspergillus puulaauensis	S	0.019	10
Aspergillus subgen. Aspergillus	G1	0.023125	16
Aspergillus subgen. Circumdati	G1	0.6155621301775148	208
Aspergillus subgen. Fumigati	G1	0.02	16
Aspergillus subgen. Nidulantes	G1	0.0175	4
Australozyma	G	0.02	1
Australozyma saopauloensis	S	0.02	1
Basidiomycota	P	0.053800424628450104	1232
Bilateria	K2	0.2646025878003697	2127
Boreoeutheria	C3	0.2646025878003697	2127
Botrytis	G	0.02463768115942029	177
Botrytis cinerea	S	0.02463768115942029	177
Botrytis cinerea B05.10	S1	0.02463768115942029	177
Brettanomyces	G	0.018333333333333333	12
Brettanomyces bruxellensis	S	0.015	6
Brettanomyces nanus	S	0.016666666666666666	3
Caldisphaera	G	0	1
Caldisphaera lagunensis	S	0	1
Caldisphaera lagunensis DSM 15908	S1	0	1
Caldisphaeraceae	F	0	1
Candida	G	0.028502024291497976	360
Candida albicans	S	0.02277777777777778	76
Candida albicans SC5314	S1	0.02277777777777778	76
Candida dubliniensis	S	0.023533834586466167	165
Candida dubliniensis CD36	S1	0.023533834586466167	165
Candida orthopsilosis	S	0.020666666666666667	99
Candida orthopsilosis Co 90-125	S1	0.020666666666666667	99
Candida/Lodderomyces clade	F1	0.03670391061452514	666
Candidatus Nitrosocaldaceae	F	0.03	1
Candidatus Nitrosocaldales	O	0.03	1
Candidatus Nitrosocaldus	G	0.03	1
Candidatus Nitrosocosmicus	G	0.025	4
Candidatus Nitrosocosmicus franklandianus	S	0.025	2
Candidatus Nitrosocosmicus hydrocola	S	0.025	2
Candidatus Nitrosopelagicus	G	0.01	1
Candidatus Nitrosopelagicus brevis	S	0.01	1
Candidatus Nitrosotenuis	G	0.04	2
Candidatus Nitrosotenuis aquarius	S	0.04	2
Candidozyma	G	0.02076923076923077	13
