barcode	name	rank	mean_percent	total_reads
barcode18	Acidianus	G	0.015	2
barcode18	Acidianus brierleyi	S	0.01	1
barcode18	Acidianus sp. HS-5	S	0.02	1
barcode18	Acidilobaceae	F	0.02	1
barcode18	Acidilobales	O	0.01	2
barcode18	Acidilobus	G	0.02	1
barcode18	Acidilobus saccharovorans	S	0.02	1
barcode18	Acidilobus saccharovorans 345-15	S1	0.02	1
barcode18	Agaricales	O	0.016	21
barcode18	Agaricineae	O1	0.01631578947368421	19
barcode18	Agaricomycetes	C	0.01681818181818182	25
barcode18	Agaricomycetes incertae sedis	C1	0.016666666666666666	4
barcode18	Agaricomycetidae	C1	0.016	21
barcode18	Agaricomycotina	P1	0.031103448275862068	301
barcode18	Akanthomyces	G	0.016666666666666666	6
barcode18	Akanthomyces muscarius	S	0.016666666666666666	6
barcode18	Alternaria	G	0.024	5
barcode18	Alternaria dauci	S	0.024	5
barcode18	Alternaria sect. Porri	G1	0.024	5
barcode18	Amniota	P9	0.6234065934065934	856
barcode18	Anthozoa	C	83.91206572769953	1140855
barcode18	Apansporoblastina	P1	0.016666666666666666	3
barcode18	Archaea	R2	0.018	51
barcode18	Ascochyta	G	0.016666666666666666	24
barcode18	Ascochyta rabiei	S	0.016666666666666666	24
barcode18	Ascomycota	P	0.13675	1802
barcode18	Aspergillaceae	F	0.020821917808219178	104
barcode18	Aspergillus	G	0.020704225352112676	98
barcode18	Aspergillus chevalieri	S	0.0125	4
barcode18	Aspergillus flavus	S	0.015	2
barcode18	Aspergillus fumigatus	S	0.016666666666666666	3
barcode18	Aspergillus fumigatus Af293	S1	0.016666666666666666	3
barcode18	Aspergillus luchuensis	S	0.021212121212121213	37
barcode18	Aspergillus nidulans	S	0.01	1
barcode18	Aspergillus nidulans FGSC A4	S1	0.01	1
barcode18	Aspergillus puulaauensis	S	0.0033333333333333335	3
barcode18	Aspergillus subgen. Aspergillus	G1	0.0125	4
barcode18	Aspergillus subgen. Circumdati	G1	0.02	87
barcode18	Aspergillus subgen. Fumigati	G1	0.016666666666666666	3
barcode18	Aspergillus subgen. Nidulantes	G1	0.01	1
barcode18	Basidiomycota	P	0.035	363
barcode18	Bilateria	K2	0.6234065934065934	856
barcode18	Boreoeutheria	C3	0.6234065934065934	856
barcode18	Botrytis	G	0.017045454545454544	49
barcode18	Botrytis cinerea	S	0.017045454545454544	49
barcode18	Botrytis cinerea B05.10	S1	0.017045454545454544	49
barcode18	Brettanomyces	G	0.0175	4
barcode18	Brettanomyces bruxellensis	S	0.02	3
barcode18	Brettanomyces nanus	S	0.01	1
barcode18	Caldisphaera	G	0	1
barcode18	Caldisphaera lagunensis	S	0	1
barcode18	Caldisphaera lagunensis DSM 15908	S1	0	1
barcode18	Caldisphaeraceae	F	0	1
barcode18	Candida	G	0.022045454545454545	124
barcode18	Candida albicans	S	0.018095238095238095	22
barcode18	Candida albicans SC5314	S1	0.018095238095238095	22
barcode18	Candida dubliniensis	S	0.0166	58
barcode18	Candida dubliniensis CD36	S1	0.0166	58
barcode18	Candida orthopsilosis	S	0.01875	34
barcode18	Candida orthopsilosis Co 90-125	S1	0.01875	34
barcode18	Candida/Lodderomyces clade	F1	0.028130081300813008	221
barcode18	Candidatus Nitrosocosmicus	G	0.03	2
barcode18	Candidatus Nitrosocosmicus franklandianus	S	0.03	1
barcode18	Candidatus Nitrosocosmicus hydrocola	S	0.03	1
barcode18	Candidatus Nitrosopelagicus	G	0.01	1
barcode18	Candidatus Nitrosopelagicus brevis	S	0.01	1
barcode18	Candidozyma	G	0.02	8
barcode18	Candidozyma auris	S	0.02	8
barcode18	Cantharellales	O	0.016666666666666666	4
barcode18	Catarrhini	O3	0.6234065934065934	856
barcode18	Ceratobasidiaceae	F	0.016666666666666666	4
barcode18	Cercospora	G	0.01	1
barcode18	Cercospora beticola	S	0.01	1
barcode18	Chaetomiaceae	F	0.016666666666666666	19
barcode18	Chordata	P	0.6234065934065934	856
barcode18	Clavicipitaceae	F	0.01575	41
barcode18	Cnidaria	P	83.91206572769953	1140855
barcode18	Coccidioides	G	0.0175	4
barcode18	Coccidioides posadasii	S	0.0175	4
barcode18	Coccidioides posadasii str. Silveira	S1	0.0175	4
barcode18	Colletotrichum	G	0.02580952380952381	156
barcode18	Colletotrichum acutatum species complex	G1	0.0175	17
barcode18	Colletotrichum destructivum	S	0.02212121212121212	38
barcode18	Colletotrichum destructivum species complex	G1	0.025531914893617023	136
barcode18	Colletotrichum higginsianum	S	0.024492753623188406	97
barcode18	Colletotrichum higginsianum IMI 349063	S1	0.024492753623188406	97
barcode18	Colletotrichum lupini	S	0.0175	17
barcode18	Cordycipitaceae	F	0.016666666666666666	6
barcode18	Craniata	P1	0.6234065934065934	856
barcode18	Cryptococcaceae	F	0.028602941176470588	260
barcode18	Cryptococcus	G	0.015111111111111112	49
barcode18	Cryptococcus decagattii	S	0.03	1
barcode18	Cryptococcus deneoformans	S	0.03	2
barcode18	Cryptococcus depauperatus	S	0.015	2
barcode18	Cryptococcus depauperatus CBS 7841	S1	0.015	2
barcode18	Cryptococcus deuterogattii	S	0.01	4
barcode18	Cryptococcus deuterogattii R265	S1	0.01	4
barcode18	Cryptococcus gattii	S	0.01	1
barcode18	Cryptococcus gattii WM276	S1	0.01	1
barcode18	Cryptococcus gattii species complex	G1	0.014	43
