name	rank	mean_percent	total_reads
Agaricales	O	0.24	2
Agaricineae	O1	0.21	1
Agaricomycetes	C	0.24	2
Agaricomycetidae	C1	0.24	2
Agaricomycotina	P1	0.4489655172413793	31
Alternaria	G	0.06	1
Alternaria dauci	S	0.06	1
Alternaria sect. Porri	G1	0.06	1
Amniota	P9	0.5343636363636364	69
Anthozoa	C	81.2663347457627	66603
Archaea	R2	0.31	4
Ascochyta	G	0.43	1
Ascochyta rabiei	S	0.43	1
Ascomycota	P	1.3266666666666667	153
Aspergillaceae	F	0.195	4
Aspergillus	G	0.195	4
Aspergillus luchuensis	S	0.07	1
Aspergillus subgen. Circumdati	G1	0.195	4
Basidiomycota	P	0.4618181818181818	38
Bilateria	K2	0.5343636363636364	69
Boreoeutheria	C3	0.5343636363636364	69
Botrytis	G	0.5366666666666666	10
Botrytis cinerea	S	0.5366666666666666	10
Botrytis cinerea B05.10	S1	0.5366666666666666	10
Brettanomyces	G	0.605	2
Brettanomyces bruxellensis	S	0.22	1
Brettanomyces nanus	S	0.99	1
Candida	G	0.24625	9
Candida albicans	S	0.38	1
Candida albicans SC5314	S1	0.38	1
Candida dubliniensis	S	0.21166666666666667	6
Candida dubliniensis CD36	S1	0.21166666666666667	6
Candida orthopsilosis	S	0.16	2
Candida orthopsilosis Co 90-125	S1	0.16	2
Candida/Lodderomyces clade	F1	0.22705882352941176	20
Candidatus Nitrosocaldaceae	F	0.07	1
Candidatus Nitrosocaldales	O	0.07	1
Candidatus Nitrosocaldus	G	0.07	1
Catarrhini	O3	0.5343636363636364	69
Chaetomiaceae	F	0.18	1
Chordata	P	0.5343636363636364	69
Clavicipitaceae	F	12.625	4
Cnidaria	P	81.2663347457627	66603
Colletotrichum	G	0.4986666666666667	16
Colletotrichum acutatum species complex	G1	0.8500000000000001	2
Colletotrichum destructivum	S	0.26666666666666666	3
Colletotrichum destructivum species complex	G1	0.44461538461538463	14
Colletotrichum higginsianum	S	0.45363636363636367	11
Colletotrichum higginsianum IMI 349063	S1	0.45363636363636367	11
Colletotrichum lupini	S	0.8500000000000001	2
Craniata	P1	0.5343636363636364	69
Cryptococcaceae	F	0.4633333333333333	25
Cryptococcus	G	0.2475	4
