mod_bases	A,C
count_reads_A	76878
count_reads_C	74221
A_pass_calls_modified_a	11316
A_pass_frac_modified_a	0.001532516406565931
A_fail_calls_modified_a	112092
A_pass_calls_unmodified	7372618
A_pass_frac_unmodified	0.9984674835934341
A_fail_calls_unmodified	677582
A_total_mod_calls	7383934
A_total_fail_mod_calls	789674
C_pass_calls_modified_m	42946
C_pass_frac_modified_m	0.05990790481358467
C_fail_calls_modified_m	11034
C_pass_calls_modified_h	4764
C_pass_frac_modified_h	0.006645584187861904
C_fail_calls_modified_h	13671
C_pass_calls_unmodified	669157
C_pass_frac_unmodified	0.9334465109985535
C_fail_calls_unmodified	54285
C_total_mod_calls	716867
C_total_fail_mod_calls	78990
total_reads_used	76879
