mod_bases	C,A
count_reads_C	73919
count_reads_A	76768
C_pass_calls_unmodified	646228
C_pass_frac_unmodified	0.9391674877849571
C_fail_calls_unmodified	52127
C_pass_calls_modified_m	37766
C_pass_frac_modified_m	0.05488558116281976
C_fail_calls_modified_m	9724
C_pass_calls_modified_h	4092
C_pass_frac_modified_h	0.005946931052223123
C_fail_calls_modified_h	12380
C_total_mod_calls	688086
C_total_fail_mod_calls	74231
A_pass_calls_modified_a	11799
A_pass_frac_modified_a	0.001622100713221145
A_fail_calls_modified_a	108034
A_pass_calls_unmodified	7262102
A_pass_frac_unmodified	0.9983778992867789
A_fail_calls_unmodified	675271
A_total_mod_calls	7273901
A_total_fail_mod_calls	783305
total_reads_used	76769
