name	rank	mean_percent	total_reads
Agaricomycotina	P1	0.6131578947368421	21
Akanthomyces	G	7.945	42
Akanthomyces muscarius	S	7.945	42
Amniota	P9	0.9046428571428572	31
Anthozoa	C	71.58495268138802	23924
Archaea	R2	0.13	2
Ascomycota	P	3.692222222222222	125
Basidiomycota	P	0.6131578947368421	21
Bilateria	K2	0.9046428571428572	31
Boreoeutheria	C3	0.9046428571428572	31
Botrytis	G	0.26	2
Botrytis cinerea	S	0.26	2
Botrytis cinerea B05.10	S1	0.26	2
Candida	G	0.48	3
Candida dubliniensis	S	0.87	1
Candida dubliniensis CD36	S1	0.87	1
Candida orthopsilosis	S	0.285	2
Candida orthopsilosis Co 90-125	S1	0.285	2
Candida/Lodderomyces clade	F1	0.43	8
Candidozyma	G	0.13	1
Candidozyma auris	S	0.13	1
Catarrhini	O3	0.9046428571428572	31
Chordata	P	0.9046428571428572	31
Clavicipitaceae	F	0.605	2
Cnidaria	P	71.58495268138802	23924
Colletotrichum	G	0.49636363636363634	11
Colletotrichum acutatum species complex	G1	0.11	1
Colletotrichum destructivum	S	0.2833333333333333	3
Colletotrichum destructivum species complex	G1	0.535	10
Colletotrichum higginsianum	S	0.3433333333333333	6
Colletotrichum higginsianum IMI 349063	S1	0.3433333333333333	6
Colletotrichum lupini	S	0.11	1
Cordycipitaceae	F	7.945	42
Craniata	P1	0.9046428571428572	31
Cryptococcaceae	F	0.6131578947368421	21
Cryptococcus	G	1.3166666666666667	3
Cryptococcus deuterogattii	S	1.805	2
Cryptococcus deuterogattii R265	S1	1.805	2
Cryptococcus gattii species complex	G1	1.3166666666666667	3
Debaryomycetaceae	F	0.43	8
Deuterostomia	K3	0.9046428571428572	31
Dikarya	K1	3.3197619047619047	151
Dipnotetrapodomorpha	P7	0.9046428571428572	31
Dipodascales	O	0.29	1
Dipodascomycetes	C	0.29	1
Dothideomycetes	C	0.2633333333333333	3
Dothideomycetidae	C1	0.295	2
Drechmeria	G	0.26142857142857145	7
Drechmeria coniospora	S	0.26142857142857145	7
Euarchontoglires	C4	0.9046428571428572	31
Eukaryota	R2	72.43003144654088	24135
Eumetazoa	K1	71.6706309148265	23961
Eunicea	G	71.58495268138802	23924
Eunicea knighti	S	71.58495268138802	23924
Eurotiales	O	0.12	1
Eurotiomycetes	C	0.12	1
Eurotiomycetidae	C1	0.12	1
Euteleostomi	P5	0.9046428571428572	31
Eutheria	C2	0.9046428571428572	31
Fulvia	G	0.295	2
Fulvia fulva	S	0.295	2
Fungi	K	3.3208333333333333	152
Fungi incertae sedis	K1	0.09	1
Fusarium	G	0.38875	8
Fusarium fujikuroi	S	0.235	4
Fusarium fujikuroi IMI 58289	S1	0.235	4
Fusarium fujikuroi species complex	G1	0.235	4
Fusarium graminearum	S	0.75	1
Fusarium graminearum PH-1	S1	0.75	1
Fusarium keratoplasticum	S	0.275	2
Fusarium sambucinum species complex	G1	0.81	2
Fusarium solani species complex	G1	0.275	2
Glomeraceae	F	0.09	1
Glomerales	O	0.09	1
Glomerellaceae	F	0.49636363636363634	11
Glomerellales	O	0.49636363636363634	11
Glomeromycetes	C	0.09	1
Glomeromycotina	P1	0.09	1
Gnathostomata	P3	0.9046428571428572	31
Haloarculaceae	F	0.13	1
Halobacteria	C	0.13	2
Halobacteriales	O	0.13	2
Haplorrhini	O1	0.9046428571428572	31
Helotiales	O	0.26	2
Henningerozyma	G	0.665	2
Henningerozyma blattae	S	0.665	2
Henningerozyma blattae CBS 6284	S1	0.665	2
Hominidae	F	0.9046428571428572	31
Homininae	F1	0.9046428571428572	31
Hominoidea	O4	0.9046428571428572	31
Homo	G	0.9046428571428572	31
Homo sapiens	S	0.9046428571428572	31
Hypocreaceae	F	1.645	6
Hypocreales	O	4.97	68
Hypocreomycetidae	C1	4.462884615384615	81
Kluyveromyces	G	0.135	2
Kluyveromyces lactis	S	0.11	1
Kluyveromyces marxianus	S	0.16	1
Kluyveromyces marxianus DMKU3-1042	S1	0.16	1
Kwoniella	G	0.474375	17
Kwoniella botswanensis	S	0.48333333333333334	13
Kwoniella dejecticola	S	0.55	1
Kwoniella dejecticola CBS 10117	S1	0.55	1
Kwoniella mangrovensis	S	0.12	1
Kwoniella mangroviensis CBS 8507	S1	0.12	1
Kwoniella shivajii	S	0.5	1
Leotiomycetes	C	0.26	2
Lodderomyces	G	0.4	5
Lodderomyces beijingensis	S	0.3175	4
Lodderomyces elongisporus	S	0.73	1
Magnaporthales	O	1.45	1
Malacalcyonacea	O	71.58495268138802	23924
Mammalia	C	0.9046428571428572	31
Metarhizium	G	0.605	2
Metarhizium brunneum	S	0.605	2
Metazoa	K	71.6706309148265	23961
Methanobacteriati	K	0.13	2
Methanobacteriota	P	0.13	2
Metschnikowiaceae	F	0.13	1
Mucoromycota	P	0.09	1
Mycosphaerellaceae	F	0.295	2
Mycosphaerellales	O	0.295	2
