barcode	name	rank	mean_percent	total_reads
barcode21	Agaricomycotina	P1	0.47200000000000003	12
barcode21	Amniota	P9	0.74	10
barcode21	Anthozoa	C	79.8109009009009	14479
barcode21	Ascomycota	P	1.4133333333333333	32
barcode21	Basidiomycota	P	0.47200000000000003	12
barcode21	Bilateria	K2	0.74	10
barcode21	Boreoeutheria	C3	0.74	10
barcode21	Botrytis	G	0.12	1
barcode21	Botrytis cinerea	S	0.12	1
barcode21	Botrytis cinerea B05.10	S1	0.12	1
barcode21	Candida	G	0.1	1
barcode21	Candida orthopsilosis	S	0.1	1
barcode21	Candida orthopsilosis Co 90-125	S1	0.1	1
barcode21	Candida/Lodderomyces clade	F1	0.31	3
barcode21	Catarrhini	O3	0.74	10
barcode21	Chordata	P	0.74	10
barcode21	Cnidaria	P	79.8109009009009	14479
barcode21	Colletotrichum	G	0.1875	4
barcode21	Colletotrichum acutatum species complex	G1	0.11	1
barcode21	Colletotrichum destructivum species complex	G1	0.21333333333333332	3
barcode21	Colletotrichum higginsianum	S	0.21333333333333332	3
barcode21	Colletotrichum higginsianum IMI 349063	S1	0.21333333333333332	3
barcode21	Colletotrichum lupini	S	0.11	1
barcode21	Craniata	P1	0.74	10
barcode21	Cryptococcaceae	F	0.47200000000000003	12
barcode21	Cryptococcus	G	0.34	1
barcode21	Cryptococcus gattii species complex	G1	0.34	1
barcode21	Debaryomycetaceae	F	0.31	3
barcode21	Deuterostomia	K3	0.74	10
barcode21	Dikarya	K1	1.2353571428571428	46
barcode21	Dipnotetrapodomorpha	P7	0.74	10
barcode21	Dipodascales	O	0.29	1
barcode21	Dipodascomycetes	C	0.29	1
barcode21	Dothideomycetes	C	0.15000000000000002	2
barcode21	Dothideomycetidae	C1	0.1	1
barcode21	Drechmeria	G	0.21750000000000003	4
barcode21	Drechmeria coniospora	S	0.21750000000000003	4
barcode21	Euarchontoglires	C4	0.74	10
barcode21	Eukaryota	R2	80.2563063063063	14548
barcode21	Eumetazoa	K1	79.87243243243243	14491
barcode21	Eunicea	G	79.8109009009009	14479
barcode21	Eunicea knighti	S	79.8109009009009	14479
barcode21	Euteleostomi	P5	0.74	10
barcode21	Eutheria	C2	0.74	10
barcode21	Fulvia	G	0.1	1
barcode21	Fulvia fulva	S	0.1	1
barcode21	Fungi	K	1.2385714285714284	47
barcode21	Fungi incertae sedis	K1	0.09	1
barcode21	Fusarium	G	0.2	1
barcode21	Fusarium fujikuroi	S	0.2	1
barcode21	Fusarium fujikuroi IMI 58289	S1	0.2	1
barcode21	Fusarium fujikuroi species complex	G1	0.2	1
barcode21	Glomeraceae	F	0.09	1
barcode21	Glomerales	O	0.09	1
