barcode	name	rank	mean_percent	total_reads
barcode27	Agaricomycotina	P1	0.4	2
barcode27	Amniota	P9	4.891111111111111	9
barcode27	Anthozoa	C	69.5506976744186	5079
barcode27	Apansporoblastina	P1	2.44	1
barcode27	Archaea	R2	1.125	2
barcode27	Ascomycota	P	1.57	19
barcode27	Aspergillaceae	F	0.8949999999999999	2
barcode27	Aspergillus	G	0.15	1
barcode27	Aspergillus luchuensis	S	0.15	1
barcode27	Aspergillus subgen. Circumdati	G1	0.15	1
barcode27	Basidiomycota	P	0.47000000000000003	4
barcode27	Bilateria	K2	4.891111111111111	9
barcode27	Boreoeutheria	C3	4.891111111111111	9
barcode27	Candida	G	0.69	2
barcode27	Candida dubliniensis	S	1.22	1
barcode27	Candida dubliniensis CD36	S1	1.22	1
barcode27	Candida orthopsilosis	S	0.16	1
barcode27	Candida orthopsilosis Co 90-125	S1	0.16	1
barcode27	Candida/Lodderomyces clade	F1	1.7325	5
barcode27	Catarrhini	O3	4.891111111111111	9
barcode27	Chaetomiaceae	F	0.65	1
barcode27	Chordata	P	4.891111111111111	9
barcode27	Cnidaria	P	69.5506976744186	5079
barcode27	Colletotrichum	G	0.16	1
barcode27	Colletotrichum destructivum	S	0.16	1
barcode27	Colletotrichum destructivum species complex	G1	0.16	1
barcode27	Craniata	P1	4.891111111111111	9
barcode27	Cryptococcaceae	F	0.4	2
barcode27	Debaryomycetaceae	F	1.7325	5
barcode27	Deuterostomia	K3	4.891111111111111	9
barcode27	Dikarya	K1	1.5306666666666666	25
barcode27	Dipnotetrapodomorpha	P7	4.891111111111111	9
barcode27	Drechmeria	G	1.34	2
barcode27	Drechmeria coniospora	S	1.34	2
barcode27	Encephalitozoon	G	2.44	1
barcode27	Euarchontoglires	C4	4.891111111111111	9
barcode27	Eukaryota	R2	70.37325581395349	5115
barcode27	Eumetazoa	K1	70.07813953488372	5089
barcode27	Eunicea	G	69.5506976744186	5079
barcode27	Eunicea knighti	S	69.5506976744186	5079
barcode27	Eurotiales	O	0.8933333333333333	3
barcode27	Eurotiomycetes	C	0.8933333333333333	3
barcode27	Eurotiomycetidae	C1	0.8933333333333333	3
barcode27	Euteleostomi	P5	4.891111111111111	9
barcode27	Eutheria	C2	4.891111111111111	9
barcode27	Fungi	K	1.5875	26
barcode27	Fungi incertae sedis	K1	2.44	1
barcode27	Fusarium	G	0.99	2
barcode27	Fusarium fujikuroi	S	1.82	1
barcode27	Fusarium fujikuroi IMI 58289	S1	1.82	1
