mod_bases	C,A
count_reads_C	70341
count_reads_A	76043
C_pass_calls_modified_m	19414
C_pass_frac_modified_m	0.04782056082132934
C_fail_calls_modified_m	8872
C_pass_calls_unmodified	376436
C_pass_frac_unmodified	0.9272370780538751
C_fail_calls_unmodified	19716
C_pass_calls_modified_h	10126
C_pass_frac_modified_h	0.024942361124795556
C_fail_calls_modified_h	16294
C_total_mod_calls	405976
C_total_fail_mod_calls	44882
A_pass_calls_unmodified	5021027
A_pass_frac_unmodified	0.9890507685046641
A_fail_calls_unmodified	407324
A_pass_calls_modified_a	55585
A_pass_frac_modified_a	0.010949231495335866
A_fail_calls_modified_a	143397
A_total_mod_calls	5076612
A_total_fail_mod_calls	550721
total_reads_used	76044
