mod_bases	A,C
count_reads_C	73819
count_reads_A	76797
A_pass_calls_unmodified	6051706
A_pass_frac_unmodified	0.9933642278269742
A_fail_calls_unmodified	530327
A_pass_calls_modified_a	40426
A_pass_frac_modified_a	0.0066357721730257975
A_fail_calls_modified_a	140315
A_total_mod_calls	6092132
A_total_fail_mod_calls	670642
C_pass_calls_modified_m	30497
C_pass_frac_modified_m	0.05627012316066239
C_fail_calls_modified_m	9328
C_pass_calls_unmodified	504471
C_pass_frac_unmodified	0.9308012362193828
C_fail_calls_unmodified	35772
C_pass_calls_modified_h	7007
C_pass_frac_modified_h	0.012928640619954796
C_fail_calls_modified_h	14903
C_total_mod_calls	541975
C_total_fail_mod_calls	60003
total_reads_used	76797
