Specimen.Count,Date.Collected,Ocean,Sea.Gulf,Bay.Sound,Country,Province.State,Precise.Locality,Species.Clean,Year.Collected,Catalog.Number,Date.Subsampled,Date.Digested,Qubit.Label1,Concentration1.ngul,Gel1.Size.kb,Date.Subsampled2,Date.Digested2,Qubit.Label2,Concentration2.ngul,Gel2.Size.kb,Tapestation.DIN,Tapestation.Conc.ngul,Tapestation.Perc.300up,Tapestation.Peak.kb,Selected,Volume.400ng.ul,Volume.1000ng.uL,Concentrated.ngul,Concentrated.vol.1000ng,Sequencing.Group,MinION.Library,MinION.barcode
1,29 May 1912,North Atlantic Ocean,,,United States,Florida,"Miami, Key Biscayne",Eunicea tourneforti,1912,USNM 50603,"July 9, 2025","July 10, 2025",B02,2.28,"smear, 0.5","July 15, 2025","July 15, 2025",C05,14.9,"smear, 0.5",1,42.4,73.82,357,Yes,9.433962264,23.58490566,,,,,
2,Aug 1898,North Atlantic Ocean,Caribbean Sea,,Belize,,Reef at Spanish Caye,Eunicea tourneforti,1898,USNM 19054,"July 9, 2025","July 9, 2025",A03,6.03,"HMW, smear","July 15, 2025","July 15, 2025",C02,3.57,"smear, 0.5",1.2,21.6,82.13,387,Yes,18.51851852,46.2962963,,,,,
1,1898,North Atlantic Ocean,Caribbean Sea,,Puerto Rico,,Playa De Ponce Reef,Eunicea tourneforti,1898,USNM 42137,"July 9, 2025","July 9, 2025",A04,15,"smear, 0.05",,,,,,1.1,46.3,86.49,441,Yes,8.639308855,21.59827214,26.95,37.10575139,3,,
15,2 May 1886,North Atlantic Ocean,,,Bahamas,,"Little Bahama Bank, Grand Cay, North of",Eunicea tourneforti,1886,USNM 14399,"July 9, 2025","July 9, 2025",A02,33.9,"smear, 0.3",,,,,,1.2,100,86.1,444,Yes,4,10,,,3,,
1 ca.,1880,North Atlantic Ocean,Caribbean Sea,,Netherlands Antilles,,Curacao,Eunicea tourneforti,1880,USNM 50368,"July 9, 2025","July 10, 2025",B01,26.5,"HMW, smear",,,,,,1.7,68.3,91.68,529,Yes,5.856515373,14.64128843,37,27.02702703,3,,
1,10 Oct 1960,North Atlantic Ocean,,,United States,Florida,"Miami, Biscayne Bay, Soldier Key",Eunicea tourneforti,1960,USNM 51857,"July 9, 2025","July 10, 2025",B05,43.7,"smear, 0.15",,,,,,1.4,109,93,540,Yes,3.669724771,9.174311927,,,,,
1,10 Oct 1960,North Atlantic Ocean,,,United States,Florida,"Miami, Biscayne Bay, Soldier Key",Eunicea tourneforti,1960,USNM 51859,"July 9, 2025","July 10, 2025",B07,43.9,"smear, 0.15",,,,,,1.5,117,92.46,550,Yes,3.418803419,8.547008547,,,,,
1,10 Oct 1960,North Atlantic Ocean,,,United States,Florida,"Miami, Biscayne Bay, Soldier Key",Eunicea tourneforti,1960,USNM 51861,"July 9, 2025","July 10, 2025",B09,52,"smear, 0.3",,,,,,1.7,94.1,94.72,647,Yes,4.250797024,10.62699256,,,2,Group2 Library2,18
1,10 Oct 1960,North Atlantic Ocean,,,United States,Florida,"Miami, Biscayne Bay, Soldier Key",Eunicea tourneforti,1960,USNM 51892,"July 9, 2025","July 9, 2025",A08,86.3,"smear, 0.15",,,,,,1.9,137,94.2,711,Yes,2.919708029,7.299270073,,,2,Group2 Library2,19
1,25 Aug 1960,North Atlantic Ocean,,,Bermuda,,"St. George's Island, Fort St. Catherine",Eunicea tourneforti,1960,USNM 51732,"July 8, 2025","July 9, 2025",A06,89.4,"smear, 0.3",,,,,,2.1,157,93.8,724,Yes,2.547770701,6.369426752,,,2,Group2 Library2,20
