#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
OZ247652.1	1	90891126	125054	14513795	15.9683	0.2516	30.2	18.1
CBDDTY010000001.1	1	2201400	1578	198737	9.02776	0.129055	30.3	15.8
CBDDTY010000002.1	1	375200	442	47141	12.5642	0.241114	30.2	1.75
OZ247653.1	1	59305165	96149	12290576	20.7243	0.295898	30.2	22.6
CBDDTY010000003.1	1	159000	11	1679	1.05597	0.0134528	28.2	0.182
CBDDTY010000004.1	1	132000	33	4949	3.74924	0.0546894	30.7	4.24
CBDDTY010000005.1	1	112000	65	7703	6.87768	0.125929	31.2	0.215
OZ247654.1	1	55603820	91312	11520856	20.7195	0.30018	30.1	22
CBDDTY010000006.1	1	237387	283	32385	13.6423	0.217914	30.3	22
CBDDTY010000007.1	1	212000	45	8565	4.04009	0.0495094	31.7	2.8
OZ247655.1	1	27535131	49065	5295522	19.2319	0.329739	30.2	19.3
OZ247656.1	1	25493044	49536	6204386	24.3376	0.357043	30.1	24.9
OZ247657.1	1	20427586	35889	4650591	22.7662	0.32168	30.3	25.2
CBDDTY010000008.1	1	1510391	62	10340	0.684591	0.00806149	29.8	0.71
CBDDTY010000009.1	1	203586	58	8739	4.29253	0.0650143	30.8	0.793
OZ247658.1	1	19570859	32510	4165658	21.285	0.304309	30.3	23.2
OZ247659.1	1	15043846	25439	3153429	20.9616	0.30284	30	21.3
CBDDTY010000010.1	1	3154400	2806	326572	10.3529	0.160012	30.4	14.6
CBDDTY010000011.1	1	372599	553	69142	18.5567	0.280881	29	6.3
OZ247660.1	1	18558849	28543	3555444	19.1577	0.28271	30.2	21.6
OZ247661.1	1	18228942	42757	4234918	23.2318	0.43477	30.2	18.2
OZ247662.1	1	18164600	31017	3973254	21.8736	0.313875	30.2	23.1
OZ247663.1	1	17898725	29334	3630115	20.2814	0.305247	30	21.3
OZ247664.1	1	16834196	29039	3749648	22.274	0.317031	30.1	23.4
OZ247665.1	1	16704832	30947	3794044	22.7123	0.339493	30.2	22.6
